prop_type,city,postal_code,lat,lon,size (sqft),price
single_family,Worcester,01602,42.294006,-71.861004,2912,610000
single_family,Worcester,01602,42.264029,-71.831773,1831,299900
condo,Worcester,01602,42.258662,-71.838505,1188,259900
single_family,Worcester,01602,42.270983,-71.81956,2096,469000
single_family,Worcester,01602,42.28498,-71.874311,2852,319900
single_family,Worcester,01602,42.255407,-71.851271,1687,259900
single_family,Worcester,01602,42.272335,-71.831706,1783,379900
single_family,Worcester,01602,42.271131,-71.830543,1900,379900
land,Worcester,NA,42.2591,-71.852738,NA,59900
multi_family,Worcester,01602,42.272758,-71.830358,3040,450000
single_family,Worcester,01602,42.273348,-71.832931,1649,369000
single_family,Worcester,01602,42.267575,-71.851264,900,265900
single_family,Worcester,01602,42.262774,-71.83692,1545,319900
single_family,Worcester,01602,42.262872,-71.847652,1536,325000
single_family,Worcester,01602,42.282037,-71.836336,3362,519900
single_family,Worcester,01602,42.26882,-71.83517,1584,329900
single_family,Worcester,01602,42.28254,-71.866929,1483,295000
single_family,Worcester,01602,42.255878,-71.847452,1590,339000
single_family,Worcester,01602,42.280257,-71.875169,1296,289000
single_family,Worcester,01602,42.27623,-71.834269,4170,459900
single_family,Worcester,01602,42.279916,-71.853827,1436,325000
single_family,Worcester,01602,42.276677,-71.867922,1196,269900
single_family,Worcester,01602,42.260676,-71.844909,1416,299900
single_family,Worcester,01602,42.266472,-71.847149,1403,299900
land,Worcester,NA,42.280216,-71.841485,NA,79900
land,Worcester,NA,42.281758,-71.845868,NA,139900
land,Worcester,NA,42.281768,-71.846327,NA,139900
single_family,Worcester,01602,42.270511,-71.828556,2656,464900
single_family,Worcester,01602,42.283842,-71.850267,3132,545000
