,prop_type,city,postal_code,lat,lon,size (sqft),price
0,single_family,Fort Wayne,46804,41.082886,-85.259676,1540,184999
1,single_family,Fort Wayne,46804,41.041897,-85.266693,1806,219900
2,land,Fort Wayne,NA,41.055359,-85.217285,NA,17000
3,single_family,Fort Wayne,46804,41.044152,-85.270994,1560,225000
4,land,Fort Wayne,NA,41.08197,-85.210598,NA,24900
5,single_family,Fort Wayne,46804,41.060619,-85.19058,924,79900
6,single_family,Fort Wayne,46804,41.059141,-85.237661,4986,539900
7,condo,Fort Wayne,46804,41.058584,-85.233578,4322,619900
8,land,Fort Wayne,NA,41.045754,-85.244785,NA,900000
9,land,Fort Wayne,NA,41.079282,-85.235938,NA,65000
10,land,Fort Wayne,NA,41.016693,-85.280558,NA,120000
11,single_family,Fort Wayne,46804,41.056098,-85.270888,5535,650000
12,single_family,Fort Wayne,46804,41.056702,-85.278158,6440,1399950
13,land,Fort Wayne,NA,41.032583,-85.239518,NA,150000
14,land,Fort Wayne,NA,41.054314,-85.239436,NA,28900
15,land,Fort Wayne,NA,41.069165,-85.252372,NA,59900
16,land,Fort Wayne,NA,41.077527,-85.254136,NA,79900
